supports assignment:obj [DD-638 - RE-637]
flight plans:dep [DD-657 - RE-656]
plans flight:compound [DD-104 - RE-551]
plans flight:compound [DD-588 - RE-551]
plans flight:compound [DD-104 - RE-555]
plan flight:compound [DD-557 - RE-551]
assign routes:obj [DD-648 - RE-656]
reaches waypoint:obj [DD-614 - RE-101]
creation modification:conj [DD-673 - RE-672]
assigned is:aux:pass [DD-550 - RE-637]
plan flight:compound [DD-554 - RE-100]
plan flight:compound [DD-554 - RE-101]
plan flight:compound [DD-557 - RE-555]
plan flight:compound [DD-554 - RE-587]
plan flight:compound [DD-554 - RE-103]
plan flight:compound [DD-550 - RE-656]
conversion description:appos [DD-514 - RE-510]
coordinate conversion:obj [DD-514 - RE-510]
display summary:compound [DD-684 - RE-114]
plan executing:amod [DD-546 - RE-80]
has uav:nsubj [DD-528 - RE-101]
has uav:nsubj [DD-27 - RE-555]
longitude current:amod [DD-599 - RE-596]
support summary:compound [DD-577 - RE-576]
longitude current:amod [DD-599 - RE-594]
support summary:compound [DD-577 - RE-574]
middleware ui:compound [DD-75 - RE-630]
plan flight:compound [DD-556 - RE-551]
select assign:conj [DD-647 - RE-646]
message monitoring:compound [DD-707 - RE-722]
plans flight:compound [DD-654 - RE-759]
middleware ui:compound [DD-75 - RE-634]
messages description:appos [DD-723 - RE-701]
plan flight:compound [DD-553 - RE-587]
plan flight:compound [DD-553 - RE-103]
plan flight:compound [DD-557 - RE-549]
middleware ui:compound [DD-75 - RE-637]
messages description:appos [DD-723 - RE-706]
conversion description:appos [DD-515 - RE-510]
plan flight:compound [DD-553 - RE-100]
plan flight:compound [DD-556 - RE-555]
plan flight:compound [DD-553 - RE-101]
plan flight:compound [DD-33 - RE-759]
assign plan:obj [DD-554 - RE-656]
assigned uav:obl [DD-30 - RE-637]
coordinate summary:nsubj [DD-362 - RE-510]
assign routes:obj [DD-647 - RE-646]
plan flight:compound [DD-556 - RE-100]
plan flight:compound [DD-638 - RE-611]
plan flight:compound [DD-559 - RE-555]
plan flight:compound [DD-556 - RE-101]
plans flight:compound [DD-84 - RE-587]
plans flight:compound [DD-84 - RE-103]
plans flight:compound [DD-84 - RE-101]
assign routes:obj [DD-647 - RE-649]
assigned plan:nsubj:pass [DD-552 - RE-656]
plan flight:compound [DD-559 - RE-551]
has uav:nsubj [DD-528 - RE-555]
plans flight:compound [DD-84 - RE-100]
reached been:aux:pass [DD-601 - RE-595]
id unique:amod [DD-361 - RE-25]
scheduling summary:compound [DD-548 - RE-547]
plan flight:compound [DD-556 - RE-587]
plan flight:compound [DD-556 - RE-103]
conversion description:appos [DD-512 - RE-510]
gcs multiple:amod [DD-354 - RE-709]
creation modification:conj [DD-674 - RE-634]
plans flight:compound [DD-104 - RE-587]
plans flight:compound [DD-104 - RE-103]
flight plans:dep [DD-658 - RE-611]
plans flight:compound [DD-104 - RE-101]
plans flight:compound [DD-104 - RE-100]
plans flight:compound [DD-537 - RE-611]
plans flight:compound [DD-588 - RE-101]
scheduling flight:compound [DD-548 - RE-547]
plans flight:compound [DD-588 - RE-100]
forwards summary:compound [DD-631 - RE-729]
plans flight:compound [DD-588 - RE-587]
plans flight:compound [DD-588 - RE-103]
forwards summary:compound [DD-764 - RE-729]
message monitoring:compound [DD-707 - RE-701]
assign routes:obj [DD-648 - RE-646]
assign routes:obj [DD-647 - RE-656]
assign routes:obj [DD-648 - RE-649]
plan flight:compound [DD-559 - RE-549]
conversion system:compound [DD-515 - RE-510]
cancelled requested:advcl [DD-546 - RE-545]
plan flight:compound [DD-552 - RE-611]
reached been:aux:pass [DD-601 - RE-589]
plan flight:compound [DD-548 - RE-656]
allowing user:obj [DD-674 - RE-691]
routes flight:compound [DD-629 - RE-628]
allowing user:obj [DD-674 - RE-693]
route flight:compound [DD-548 - RE-628]
waypoint final:amod [DD-81 - RE-555]
allowing user:obj [DD-674 - RE-695]
updated location:nsubj:pass [DD-121 - RE-595]
plans flight:compound [DD-553 - RE-28]
flight plans:dep [DD-657 - RE-611]
plans pending:case [DD-553 - RE-101]
plans pending:case [DD-553 - RE-103]
plans flight:compound [DD-538 - RE-611]
forwards summary:compound [DD-632 - RE-729]
display display:dep [DD-229 - RE-114]
reached has:aux [DD-601 - RE-101]
plan new:amod [DD-548 - RE-101]
reached has:aux [DD-601 - RE-589]
plan flight:compound [DD-550 - RE-611]
executing plans:obj [DD-538 - RE-101]
route flight:compound [DD-548 - RE-634]
plans flight:compound [DD-546 - RE-549]
routes flight:compound [DD-629 - RE-634]
forwards summary:compound [DD-633 - RE-729]
plan flight:compound [DD-638 - RE-587]
plan flight:compound [DD-638 - RE-103]
uavs multiple:amod [DD-362 - RE-759]
plan flight:compound [DD-638 - RE-100]
plan flight:compound [DD-638 - RE-101]
plans executed:obj [DD-104 - RE-759]
executed is:aux:pass [DD-613 - RE-80]
route flight:compound [DD-635 - RE-628]
plans flight:compound [DD-546 - RE-551]
allowing user:obj [DD-674 - RE-672]
summary description:dep [DD-713 - RE-541]
allowing user:obj [DD-674 - RE-677]
able be:cop [DD-728 - RE-706]
plans flight:compound [DD-546 - RE-555]
planning mission:compound [DD-542 - RE-759]
uavs activated:amod [DD-590 - RE-681]
summary description:dep [DD-615 - RE-679]
route flight:compound [DD-502 - RE-628]
land description:appos [DD-602 - RE-596]
route flight:compound [DD-636 - RE-628]
route flight:compound [DD-502 - RE-634]
route flight:compound [DD-635 - RE-634]
home return:compound [DD-520 - RE-424]
plans pending:case [DD-553 - RE-555]
plans flight:compound [DD-537 - RE-656]
able be:cop [DD-727 - RE-706]
summary description:dep [DD-530 - RE-80]
reached has:aux [DD-601 - RE-555]
route flight:compound [DD-636 - RE-634]
plan flight:compound [DD-557 - RE-80]
plans flight:compound [DD-538 - RE-656]
summary transition:dep [DD-500 - RE-8]
plan flight:compound [DD-638 - RE-555]
plan flight:compound [DD-638 - RE-551]
messages uav:compound [DD-723 - RE-722]
waypoint final:amod [DD-544 - RE-501]
plans flight:compound [DD-546 - RE-101]
plans flight:compound [DD-546 - RE-100]
support uavs:obj [DD-575 - RE-576]
support uavs:obj [DD-575 - RE-574]
assign plan:obj [DD-554 - RE-100]
waypoint final:amod [DD-81 - RE-101]
assign plan:obj [DD-554 - RE-101]
plans flight:compound [DD-546 - RE-587]
plans flight:compound [DD-546 - RE-103]
plan flight:compound [DD-559 - RE-80]
plan flight:compound [DD-638 - RE-549]
route flight:compound [DD-506 - RE-628]
routes flight:compound [DD-537 - RE-634]
route list:nmod [DD-657 - RE-628]
summary removals:dep [DD-650 - RE-100]
plan manual:compound [DD-550 - RE-549]
plans flight:compound [DD-537 - RE-689]
uavs activated:amod [DD-572 - RE-589]
plans flight:compound [DD-27 - RE-759]
route flight:compound [DD-507 - RE-628]
support uavs:obj [DD-577 - RE-576]
given command:iobj [DD-599 - RE-594]
support uavs:obj [DD-577 - RE-574]
given command:iobj [DD-599 - RE-595]
route flight:compound [DD-506 - RE-634]
return home:obl [DD-520 - RE-424]
given command:iobj [DD-599 - RE-596]
plans flight:compound [DD-538 - RE-689]
uavs activated:amod [DD-573 - RE-589]
executing is:aux [DD-498 - RE-80]
assign description:dep [DD-554 - RE-101]
altitude corresponding:acl [DD-599 - RE-594]
plan flight:compound [DD-81 - RE-656]
log events:dep [DD-618 - RE-611]
altitude corresponding:acl [DD-599 - RE-596]
plan flight:compound [DD-559 - RE-28]
route flight:compound [DD-507 - RE-634]
plan flight:compound [DD-553 - RE-80]
routes flight:compound [DD-536 - RE-628]
executing plans:obj [DD-498 - RE-80]
routes flight:compound [DD-536 - RE-634]
route flight:compound [DD-509 - RE-628]
routes flight:compound [DD-537 - RE-628]
planning mission:compound [DD-498 - RE-759]
displayed loaded:advcl [DD-684 - RE-114]
plan flight:compound [DD-554 - RE-80]
reaches waypoint:obj [DD-530 - RE-101]
simulate description:dep [DD-608 - RE-595]
route list:nmod [DD-657 - RE-679]
simulate description:dep [DD-608 - RE-594]
simulate description:dep [DD-608 - RE-597]
assigned is:aux:pass [DD-614 - RE-551]
simulate description:dep [DD-608 - RE-596]
plan executing:amod [DD-556 - RE-80]
waypoint plan:nmod [DD-81 - RE-101]
executed plan:nsubj:pass [DD-613 - RE-101]
waypoint final:amod [DD-544 - RE-555]
scheduling description:appos [DD-548 - RE-547]
active is:cop [DD-697 - RE-36]
change message:obj [DD-618 - RE-722]
forwards middleware:compound [DD-764 - RE-630]
loaded is:aux:pass [DD-684 - RE-679]
forwards middleware:compound [DD-631 - RE-630]
flight routes:compound [DD-657 - RE-501]
route flight:compound [DD-509 - RE-634]
simulate description:dep [DD-609 - RE-594]
simulate description:dep [DD-609 - RE-596]
simulate description:dep [DD-609 - RE-595]
flight routes:compound [DD-657 - RE-505]
assigned is:aux:pass [DD-613 - RE-551]
simulate description:dep [DD-609 - RE-597]
flight routes:compound [DD-657 - RE-508]
routes uav:nmod [DD-647 - RE-549]
plans flight:compound [DD-553 - RE-80]
transformed coordinates:nsubj:pass [DD-515 - RE-510]
loaded is:aux:pass [DD-685 - RE-679]
forwards middleware:compound [DD-632 - RE-630]
command given:case [DD-600 - RE-594]
messages state:compound [DD-724 - RE-722]
command given:case [DD-600 - RE-595]
assigned is:aux:pass [DD-612 - RE-551]
plan flight:compound [DD-556 - RE-80]
command given:case [DD-600 - RE-596]
assigned uav:obl [DD-550 - RE-25]
assignment route:compound [DD-638 - RE-637]
deleted route:nsubj:pass [DD-678 - RE-677]
plan flight:compound [DD-81 - RE-611]
hover description:appos [DD-81 - RE-555]
transformed coordinates:nsubj:pass [DD-514 - RE-510]
plans assigned:acl [DD-657 - RE-100]
plans assigned:acl [DD-657 - RE-101]
route description:dep [DD-75 - RE-689]
waypoint final:amod [DD-544 - RE-101]
supports description:dep [DD-635 - RE-576]
supports description:dep [DD-635 - RE-574]
forwards middleware:compound [DD-633 - RE-630]
summary cancel:dep [DD-546 - RE-545]
summary description:dep [DD-713 - RE-80]
waypoints visiting:amod [DD-530 - RE-80]
assigned route:obl [DD-613 - RE-656]
coordinates description:appos [DD-119 - RE-643]
plan flight:compound [DD-556 - RE-28]
plans assigned:acl [DD-658 - RE-101]
plans assigned:acl [DD-658 - RE-100]
plans scheduled:amod [DD-553 - RE-103]
plan flight:compound [DD-550 - RE-80]
corresponding longitude:obl [DD-605 - RE-596]
corresponding longitude:obl [DD-605 - RE-594]
summary description:dep [DD-530 - RE-541]
requests plan:compound [DD-640 - RE-639]
transformed coordinates:nsubj [DD-512 - RE-510]
plan flight:compound [DD-557 - RE-28]
remove plans:obl [DD-553 - RE-656]
executing plans:obj [DD-498 - RE-28]
reaches waypoint:obj [DD-530 - RE-555]
return commands:obl [DD-633 - RE-424]
command takeoff:compound [DD-599 - RE-594]
uav plan:dep [DD-614 - RE-28]
waypoint plan:nmod [DD-81 - RE-555]
assigned route:obl [DD-612 - RE-646]
assigned route:obl [DD-612 - RE-649]
plan executing:amod [DD-556 - RE-28]
specified waypoints:nsubj:pass [DD-530 - RE-77]
plan flight:compound [DD-552 - RE-80]
route description:dep [DD-75 - RE-656]
uav description:appos [DD-638 - RE-637]
coordinate default:compound [DD-511 - RE-643]
assign route:obl [DD-638 - RE-549]
includes coordinates:obj [DD-614 - RE-77]
assigned route:obl [DD-613 - RE-646]
assigned route:obl [DD-612 - RE-656]
assigned route:obl [DD-613 - RE-649]
